"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)"
"Los Angeles city, California","","","","","","","","","","","","","","","",""
"    Estimate","","3,973,278","226,227","224,155","225,304","237,653","292,361","723,858","571,032","516,798","237,072","208,031","290,863","143,939","75,985","35.9"
"    Percent","","3,973,278","5.7%","5.6%","5.7%","6.0%","7.4%","18.2%","14.4%","13.0%","6.0%","5.2%","7.3%","3.6%","1.9%","(X)"
