"Label (Grouping)","RACE","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race"
"Illinois","","","","","","","",""
"    Estimate","","12,716,164","9,367,474","1,957,092","104,386","828,847","16,535","1,013,633"
"    Percent","","12,716,164","73.7%","15.4%","0.8%","6.5%","0.1%","8.0%"
"Cook County, Illinois","","","","","","","",""
"    Estimate","","5,169,517","3,041,776","1,263,902","43,551","445,203","6,818","640,553"
"    Percent","","5,169,517","58.8%","24.4%","0.8%","8.6%","0.1%","12.4%"
