"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)"
"Maricopa County, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","","4,412,779","277,315","285,526","308,049","296,440","293,079","645,693","574,796","552,339","265,441","243,005","389,119","202,237","79,740","36.6"
"    Percent","","4,412,779","6.3%","6.5%","7.0%","6.7%","6.6%","14.6%","13.0%","12.5%","6.0%","5.5%","8.8%","4.6%","1.8%","(X)"
