,Total Population,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,85 and Over,Median Age
    Estimate,"5,169,517","315,368","302,232","322,415","310,116","334,453","844,827","699,725","647,738","330,348","304,607","433,863","219,634","104,191",37.0
    Percent,"5,169,517",6.1%,5.8%,6.2%,6.0%,6.5%,16.3%,13.5%,12.5%,6.4%,5.9%,8.4%,4.2%,2.0%,(X)
