,Total Population,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,85 and Over,Median Age
    Estimate,"3,973,278","226,227","224,155","225,304","237,653","292,361","723,858","571,032","516,798","237,072","208,031","290,863","143,939","75,985",35.9
    Percent,"3,973,278",5.7%,5.6%,5.7%,6.0%,7.4%,18.2%,14.4%,13.0%,6.0%,5.2%,7.3%,3.6%,1.9%,(X)
