,Total Population,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,85 and Over,Median Age
    Estimate,"4,412,779","277,315","285,526","308,049","296,440","293,079","645,693","574,796","552,339","265,441","243,005","389,119","202,237","79,740",36.6
    Percent,"4,412,779",6.3%,6.5%,7.0%,6.7%,6.6%,14.6%,13.0%,12.5%,6.0%,5.5%,8.8%,4.6%,1.8%,(X)
