,Total Housing Units,Occupied Housing Units Paying Rent,Less than $500,$500 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or more",Median Rent Price,No rent paid
    Estimate,"1,765,880","568,909","18,284","166,570","239,075","103,837","26,330","7,348","7,465","1,182","19,388"
    Percent,"1,765,880","568,909",3.2%,29.3%,42.0%,18.3%,4.6%,1.3%,1.3%,(X),(X)
