Geography Type,Year,Geography,Total,Age 0-17,Age 18-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70-79,Age 80+,Female,Male,Latinx,Asian Non-Latinx,Black Non-Latinx,White Non-Latinx,Population - Other Race Non-Latinx
ZIP Code,2020,60649,47084,10038,7796,7125,5897,5588,5941,3113,1586,26070,21014,1261,164.0,43514.0,1487,658.0
ZIP Code,2020,60651,63679,16789,11532,9323,7695,7482,5852,3147,1859,34149,29530,25440,181.0,33762.0,3183,1113.0
ZIP Code,2020,60652,42296,10768,6875,5147,5950,5941,4444,2077,1094,21753,20543,18354,356.0,18670.0,4342,574.0
ZIP Code,2020,60653,33574,8697,5366,4804,3855,3872,3528,2120,1332,19060,14514,1382,468.0,28717.0,2097,910.0
ZIP Code,2020,60654,20812,1228,6074,6593,2215,2398,1481,540,283,9951,10861,1598,2637.0,775.0,14977,825.0
ZIP Code,2020,60655,27771,6878,3741,3312,3624,4216,3540,1595,865,14296,13475,2537,376.0,1587.0,22424,847.0
ZIP Code,2020,60656,28982,5445,3827,5520,3516,3713,3646,2147,1168,14086,14896,3587,2796.0,950.0,20907,742.0
ZIP Code,2020,60657,70489,8776,24075,16688,6733,5762,4573,2424,1458,33780,36709,5782,4898.0,2326.0,54926,2557.0
ZIP Code,2020,60659,43843,11916,6839,6603,5566,5244,4704,1947,1024,21932,21911,9085,11517.0,3594.0,16904,2743.0
ZIP Code,2020,60660,45131,5779,11358,8952,5574,5192,4463,2451,1362,22140,22991,7995,6455.0,6621.0,22350,1710.0
ZIP Code,2020,60661,10734,884,3350,3953,1442,658,317,73,57,5240,5494,894,2977.0,307.0,6209,347.0
ZIP Code,2020,60666,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
ZIP Code,2020,60707,42434,8937,6383,5901,6070,6218,4672,2687,1566,22350,20084,17614,1404.0,2812.0,19880,724.0
ZIP Code,2020,60827,28327,8579,4770,3536,3472,3357,2952,1178,483,15709,12618,1861,2.0,25362.0,646,456.0
