Unnamed: 0,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,City
    Estimate,"5,169,517","3,041,776","1,263,902","43,551","445,203","6,818","640,553",Chicago
    Estimate,"4,835,125","2,666,766","1,046,412","141,031","409,092","12,471","1,722,952",Houston
    Estimate,"1,629,153","976,633","276,040","23,168","225,191","2,816","235,303",New York
    Estimate,"3,973,278","2,187,180","401,039","62,817","541,935","18,525","1,058,349",Los Angeles
    Estimate,"4,412,779","3,542,986","316,952","129,795","247,355","21,817","487,245",Phoenix
